date	open	high	low	close	volume
2009-12-31	14.32	14.913	14.15	14.76	369398.331
2010-01-04	14.786	15.464	14.786	15.167	405198.466
2010-01-05	15.167	15.489	15.091	15.269	218337.17
2010-01-06	15.252	15.294	14.913	14.998	164138.412
2010-01-07	14.913	15.218	14.794	14.845	191487.975
2010-01-08	14.752	15.506	14.701	15.201	244374.353
2010-01-11	15.506	15.828	15.159	15.413	301633.087
2010-01-12	15.413	15.514	15.15	15.303	273543.027
2010-01-13	14.938	15.921	14.896	15.599	377276.937
2010-01-14	15.633	16.497	15.489	16.345	321069.396
2010-01-15	16.319	16.446	16.099	16.201	151949.313
2010-01-18	16.252	17.794	16.243	17.379	445597.505
2010-01-19	17.429	17.565	17.124	17.429	264726.895
2010-01-20	17.404	17.404	16.548	16.675	295564.787
2010-01-21	16.684	17.328	16.353	16.709	285936.059
2010-01-22	16.599	17.048	16.099	16.37	325504.242
2010-01-25	16.336	16.336	15.591	15.658	224794.856
2010-01-26	15.599	15.845	15.133	15.726	264792.053
2010-01-27	15.591	15.803	15.286	15.404	156316.686
2010-01-28	15.379	15.718	15.336	15.718	150074.686
2010-01-29	15.591	16.04	15.506	15.718	172454.566
2010-02-01	15.591	15.616	14.828	15.006	240086.713
2010-02-02	15.125	15.209	14.548	14.616	193402.994
2010-02-03	14.659	15.091	14.133	15.015	235461.796
2010-02-04	14.845	16.336	14.743	15.904	357404.216
2010-02-05	15.506	15.887	15.218	15.43	233228.677
2010-02-08	15.43	15.887	15.32	15.506	135478.588
2010-02-09	15.548	15.845	15.396	15.633	121031.407
2010-02-10	15.726	15.777	15.548	15.743	87436.624
2010-02-11	15.752	15.777	15.413	15.472	87434.455
2010-02-12	15.489	15.896	15.489	15.828	100106.857
2010-02-22	15.828	16.785	15.743	16.269	227151.87
2010-02-23	16.252	16.421	15.98	16.328	128807.581
2010-02-24	16.201	16.489	16.108	16.455	134412.974
2010-02-25	16.523	16.624	16.396	16.523	205492.423
2010-02-26	16.48	16.48	16.167	16.218	143315.583
2010-03-01	16.099	16.192	15.803	16.065	241313.513
2010-03-02	16.065	16.065	15.684	15.769	208401.915
2010-03-03	15.769	16.082	15.726	16.074	209808.381
2010-03-04	16.065	16.175	15.387	15.43	189559.975
2010-03-05	15.464	15.752	15.345	15.599	162144.771
